	Дата	Единиц	Курс	 
	7.09.2021	1	86.5743	 
	4.09.2021	1	86.5366	 
	3.09.2021	1	86.2970	 
	2.09.2021	1	86.3949	 
	1.09.2021	1	86.6660	 
	31.08.2021	1	86.8104	 
	28.08.2021	1	87.0304	 
	27.08.2021	1	87.0576	 
	26.08.2021	1	86.5814	 
	25.08.2021	1	86.8058	 
	24.08.2021	1	86.7838	 
	21.08.2021	1	86.8646	 
	20.08.2021	1	86.6150	 
	19.08.2021	1	86.1210	 
	18.08.2021	1	86.4804	 
	17.08.2021	1	86.5072	 
	14.08.2021	1	86.2195	 
	13.08.2021	1	86.3457	 
	12.08.2021	1	86.6257	 
	11.08.2021	1	86.3578	 
	10.08.2021	1	86.4378	 
	7.08.2021	1	86.4621	 
	6.08.2021	1	86.6529	 
	5.08.2021	1	86.4112	 
	4.08.2021	1	86.5578	 
	3.08.2021	1	86.7717	 
	31.07.2021	1	86.9913	 
	30.07.2021	1	86.8624	 
	29.07.2021	1	86.9173	 
	28.07.2021	1	86.9919	 
	27.07.2021	1	87.3171	 
	24.07.2021	1	86.8451	 
	23.07.2021	1	86.9227	 
	22.07.2021	1	87.5983	 
	21.07.2021	1	87.7727	 
	20.07.2021	1	87.6097	 
	17.07.2021	1	87.5673	 
	16.07.2021	1	87.8316	 
	15.07.2021	1	87.3917	 
	14.07.2021	1	87.7820	 
	13.07.2021	1	88.6050	 
	10.07.2021	1	88.1397	 
	9.07.2021	1	88.7755	 
	8.07.2021	1	87.5588	 
	7.07.2021	1	87.0034	 
	6.07.2021	1	87.0272	 
	3.07.2021	1	87.0748	 
	2.07.2021	1	86.4113	 
	1.07.2021	1	86.5118	 
	30.06.2021	1	86.2026	 
	29.06.2021	1	86.1657	 
	26.06.2021	1	86.1919	 
	24.06.2021	1	86.7137	 
	23.06.2021	1	87.0677	 
	22.06.2021	1	86.8942	 
	19.06.2021	1	85.9943	 
	18.06.2021	1	86.7012	 
	17.06.2021	1	87.3536	 
	16.06.2021	1	87.2110	 
	12.06.2021	1	87.3274	 
	11.06.2021	1	87.8065	 
	10.06.2021	1	87.8114	 
	9.06.2021	1	88.6433	 
	8.06.2021	1	88.6530	 
	5.06.2021	1	88.7545	 
	4.06.2021	1	89.2644	 
	3.06.2021	1	89.6895	 
	2.06.2021	1	89.5958	 
	1.06.2021	1	89.3778	 
	29.05.2021	1	89.6731	 
	28.05.2021	1	89.6555	 
	27.05.2021	1	89.9392	 
	26.05.2021	1	89.9545	 
	25.05.2021	1	89.6877	 
	22.05.2021	1	89.9446	 
	21.05.2021	1	89.7708	 
	20.05.2021	1	90.1006	 
	19.05.2021	1	89.9057	 
	18.05.2021	1	89.6584	 
	15.05.2021	1	89.6249	 
	14.05.2021	1	89.9343	 
	13.05.2021	1	89.8475	 
	12.05.2021	1	90.0040	 
	8.05.2021	1	89.5060	 
	7.05.2021	1	89.6788	 
	6.05.2021	1	89.7742	 
	5.05.2021	1	90.4510	 
	1.05.2021	1	90.5850	 
	30.04.2021	1	90.1513	 
	29.04.2021	1	90.4289	 
	28.04.2021	1	90.4666	 
